index,date,iso_code,total_vacc
210,2021-11-26,DZA,6476773.033021808
211,2021-11-27,DZA,6491648.239330888
212,2021-11-28,DZA,6506262.306524634
213,2021-11-29,DZA,6520618.012678742
214,2021-11-30,DZA,6534719.5249067545
215,2021-12-01,DZA,6548568.232246518
216,2021-12-02,DZA,6562168.301811576
217,2021-12-03,DZA,6575520.4281208515
218,2021-12-04,DZA,6588630.167325735
219,2021-12-05,DZA,6601498.908464074
220,2021-12-06,DZA,6614128.73509264
221,2021-12-07,DZA,6626526.59240067
222,2021-12-08,DZA,6638690.396831393
223,2021-12-09,DZA,6650626.399055123
224,2021-12-10,DZA,6662338.071666479
225,2021-12-11,DZA,6673826.109184384
226,2021-12-12,DZA,6685095.373241305
227,2021-12-13,DZA,6696147.947394013
228,2021-12-14,DZA,6706987.998756051
229,2021-12-15,DZA,6717617.61088419
230,2021-12-16,DZA,6728040.256373048
231,2021-12-17,DZA,6738259.4078172445
232,2021-12-18,DZA,6748277.843292475
233,2021-12-19,DZA,6758098.3408744335
234,2021-12-20,DZA,6767724.37315774
235,2021-12-21,DZA,6777159.412737012
236,2021-12-22,DZA,6786404.848650098
237,2021-12-23,DZA,6795464.84801054
238,2021-12-24,DZA,6804342.883412957
239,2021-12-25,DZA,6813041.038414121
240,2021-12-26,DZA,6821562.785608649
241,2021-12-27,DZA,6829910.903072238
242,2021-12-28,DZA,6838088.168880582
243,2021-12-29,DZA,6846098.0556283
244,2021-12-30,DZA,6853941.952353239
245,2021-12-31,DZA,6861625.41520679
246,2022-01-01,DZA,6869148.444188952
247,2022-01-02,DZA,6876515.900932193
248,2022-01-03,DZA,6883729.174474359
249,2022-01-04,DZA,6890791.042891145
250,2022-01-05,DZA,6897705.673296094
251,2022-01-06,DZA,6904474.454727054
252,2022-01-07,DZA,6911100.165259719
253,2022-01-08,DZA,6917585.582969785
254,2022-01-09,DZA,6923934.18045187
255,2022-01-10,DZA,6930146.652224898
256,2022-01-11,DZA,6936227.859921336
257,2022-01-12,DZA,6942177.8035411835
258,2022-01-13,DZA,6948000.650197983
259,2022-01-14,DZA,6953698.483448505
260,2022-01-15,DZA,6959272.692330599
261,2022-01-16,DZA,6964728.138476729
262,2022-01-17,DZA,6970064.127367973
263,2022-01-18,DZA,6975286.215155721
264,2022-01-19,DZA,6980392.3182832
265,2022-01-20,DZA,6985388.687420726
266,2022-01-21,DZA,6990276.017087221
267,2022-01-22,DZA,6995057.085358381
268,2022-01-23,DZA,6999732.58675313
269,2022-01-24,DZA,7004305.299347162
270,2021-10-27,AND,5968797.725070596
271,2021-10-28,AND,5974184.413843274
272,2021-10-29,AND,5987453.892400622
273,2021-10-30,AND,6004657.126142144
274,2021-10-31,AND,6024010.590471625
275,2021-11-01,AND,6044465.561814189
276,2021-11-02,AND,6065410.168998003
277,2021-11-03,AND,6086488.123815179
278,2021-11-04,AND,6107497.321258903
279,2021-11-05,AND,6128321.776668906
280,2021-11-06,AND,6148896.89978528
281,2021-11-07,AND,6169186.575623989
282,2021-11-08,AND,6189170.663136244
283,2021-11-09,AND,6208839.439057112
284,2021-11-10,AND,6228186.652716279
285,2021-11-11,AND,6247209.526038051
286,2021-11-12,AND,6265909.448060274
287,2021-11-13,AND,6284285.029745102
288,2021-11-14,AND,6302339.743687153
289,2021-11-15,AND,6320075.673443198
290,2021-11-16,AND,6337496.9861267805
291,2021-11-17,AND,6354748.8361929655
292,2021-11-18,AND,6371709.682830095
293,2021-11-19,AND,6388385.08218956
294,2021-11-20,AND,6404777.117828131
295,2021-11-21,AND,6420891.345897198
296,2021-11-22,AND,6436731.23899138
297,2021-11-23,AND,6452299.575186372
298,2021-11-24,AND,6467599.827076793
299,2021-11-25,AND,6482634.7727383375
300,2021-11-26,AND,6497406.4957277775
301,2021-11-27,AND,6511919.163158655
302,2021-11-28,AND,6526174.164068818
303,2021-11-29,AND,6540176.360090733
304,2021-11-30,AND,6553927.140262246
305,2021-12-01,AND,6567429.282659054
306,2021-12-02,AND,6580686.259875774
307,2021-12-03,AND,6593701.544507027
308,2021-12-04,AND,6606475.831071734
309,2021-12-05,AND,6619015.3702402115
310,2021-12-06,AND,6631320.162012458
311,2021-12-07,AND,6643395.762539864
312,2021-12-08,AND,6655242.866341352
313,2021-12-09,AND,6666866.335049391
314,2021-12-10,AND,6678268.25222075
315,2021-12-11,AND,6689452.090450048
316,2021-12-12,AND,6700421.322331905
317,2021-12-13,AND,6711178.725942016
318,2021-12-14,AND,6721727.079356074
319,2021-12-15,AND,6732069.8551687
320,2021-12-16,AND,6742209.831455588
321,2021-12-17,AND,6752150.4808113575
322,2021-12-18,AND,6761893.886792779
323,2021-12-19,AND,6771444.911032319
324,2021-12-20,AND,6780804.248048902
325,2021-12-21,AND,6789977.4539939165
326,2021-12-22,AND,6798965.917905211
327,2021-12-23,AND,6807772.417858481
328,2021-12-24,AND,6816401.815486193
329,2021-12-25,AND,6824854.805307269
330,2021-12-26,AND,6833135.554435253
331,2021-12-27,AND,6841246.84094584
332,2021-12-28,AND,6849191.442914724
333,2021-12-29,AND,6856972.138417602
334,2021-12-30,AND,6864592.40004909
335,2021-12-31,AND,6872054.311365962
336,2022-01-01,AND,6879360.650443912
337,2022-01-02,AND,6886514.195358634
338,2022-01-03,AND,6893518.418704748
339,2022-01-04,AND,6900374.709520102
340,2022-01-05,AND,6907087.234918237
341,2022-01-06,AND,6913657.383937001
342,2022-01-07,AND,6920089.323689938
343,2022-01-08,AND,6926383.74869597
344,2022-01-09,AND,6932544.82606864
345,2022-01-10,AND,6938573.944845796
346,2022-01-11,AND,6944474.577622056
347,2022-01-12,AND,6950248.113435268
348,2022-01-13,AND,6955898.024880052
349,2022-01-14,AND,6961425.006475329
350,2022-01-15,AND,6966833.225334644
351,2022-01-16,AND,6972124.070495844
352,2022-01-17,AND,6977299.625515699
353,2022-01-18,AND,6982363.36298883
354,2022-01-19,AND,6987316.671953082
355,2022-01-20,AND,6992162.330484152
356,2022-01-21,AND,6996901.033100963
